,MLSFCDC,VIAT_NM,x,y,gu,dong
5953,보건시설,최원호병원,126.92386585942728,37.604784720584426,은평구,녹번동
5954,보건시설,조은성모의원,126.91831059674985,37.62356696120273,은평구,갈현1동
5955,숙박시설,리앤노게스트하우스,126.92106234615866,37.561416184073295,마포구,연남동
5956,숙박시설,나무게스트하우스,126.92056165570963,37.56194397439846,마포구,연남동
5957,숙박시설,스튜디오호스텔,126.92153061638152,37.561510731314485,마포구,연남동
5958,보건시설,튼튼동물병원,126.91742212606468,37.60014518693882,은평구,역촌동
5959,서비스산업,우리은행응암로지점,126.9176180366828,37.593370705685544,은평구,응암3동
5960,보건시설,인수당한의원,126.9244762656452,37.60317694348208,은평구,녹번동
5961,보건시설,사과나무약국,126.91580900696843,37.61992823563162,은평구,갈현2동
5962,숙박시설,로이게스트하우스,126.92402256260954,37.5630886176669,마포구,연남동
5963,보건시설,용일약국,126.92055875958934,37.56974040749153,서대문구,연희동
5964,보건시설,연강한의원,126.91855282680864,37.60199779503492,은평구,역촌동
5965,지방행정기관,대조동주민센터,126.92082699161128,37.61417974047035,은평구,대조동
5966,보건시설,모아가정의학과의원,126.92185651060466,37.61126709325824,은평구,대조동
5967,보건시설,유승약국,126.92201658870528,37.61105746956332,은평구,대조동
5968,지방행정기관,"진관동주민센터,진관동자치회관",126.92104571401886,37.634951472279326,은평구,진관동
5969,보건시설,솔빛약국,126.9156463659175,37.619668136956555,은평구,갈현2동
5970,보건시설,윤소이청소년과정원의원,126.91574669826355,37.61982528589592,은평구,갈현2동
5971,보건시설,하늘향기한의원,126.91577410653223,37.61930526228582,은평구,갈현2동
5972,보건시설,한겨레약국,126.91974140416379,37.618333959140195,은평구,갈현2동
5973,보건시설,서울고운누리치과의원,126.9198703234612,37.6185141024294,은평구,갈현2동
5974,보건시설,동서한방병원본관,126.93030098392238,37.56467040297094,서대문구,연희동
5975,보건시설,동서한방병원(별관),126.93013725801258,37.5648577699068,서대문구,연희동
5976,숙박시설,서니힐게스트하우스,126.92108674221039,37.56058493645551,마포구,연남동
5977,보건시설,로얄빌딩화한의원,126.9208928695353,37.563246355351055,마포구,연남동
5978,숙박시설,마루지게스트하우스,126.9202685552,37.561734003141346,마포구,연남동
5979,서비스산업,"역촌중앙시장,풍성한교회,강북이용학원",126.91623804099903,37.613285285147626,은평구,갈현2동
5980,지방행정기관,갈현제2동주민센터,126.91581686302396,37.61850917746567,은평구,갈현2동
5981,보건시설,대조신한의원,126.91944498577317,37.61547872115868,은평구,대조동
5982,숙박시설,바나나모텔,126.91966651419159,37.61991998523826,은평구,갈현1동
5983,보건시설,조은내과의원,126.91612679545366,37.61984772720763,은평구,갈현2동
5984,보건시설,감나무한의원,126.91671587573617,37.615066092258004,은평구,갈현2동
5985,보건시설,동서한방병원,126.9301186073854,37.56418472129084,서대문구,연희동
5986,숙박시설,청원장여관,126.93087982657963,37.562698707604866,서대문구,연희동
5987,숙박시설,하이준게스트하우스,126.92429802285645,37.56294418206812,마포구,연남동
5988,숙박시설,하이스트리트게스트하우스,126.9221611157261,37.56025162042921,마포구,연남동
5989,보건시설,은평연세병원,126.91749179878956,37.61470492768241,은평구,갈현2동
5990,보건시설,연세스타약국,126.91743978172995,37.6149149875518,은평구,갈현2동
5991,문화/예술시설,세령갤러리,126.91981377265748,37.60173199965446,은평구,역촌동
5992,보건시설,현대자동차종합병원,126.91571749760725,37.601335308124135,은평구,역촌동
5993,보건시설,서울효실버요양병원,126.91578230740217,37.60064734393612,은평구,역촌동
5994,보건시설,오춘근한의원,126.92017520862797,37.59861141546576,은평구,응암1동
5995,보건시설,은평메디컬약국,126.92298081704519,37.59382113491553,은평구,응암2동
5996,지방행정기관,응암제2동주민센터,126.92307568556672,37.59460946976181,은평구,응암2동
5997,보건시설,서울특별시은평병원어린이발달센터,126.92348427456663,37.59347421214989,은평구,응암2동
5998,보건시설,은평병원,126.92366900748115,37.59405260294007,은평구,응암2동
5999,보건시설,은평병원주차정산,126.92344193705017,37.59415118384942,은평구,응암2동
6000,보건시설,경희은한의원,126.91990843258237,37.561649107300696,마포구,연남동
6001,보건시설,김의원,126.9326633569396,37.568602878917496,서대문구,연희동
6002,문화/예술시설,류아트센터,126.92204269642014,37.56682003715482,서대문구,연희동
6003,지방행정기관,역촌동주민센터,126.91511153517229,37.60442368897092,은평구,역촌동
